Question,Answer
"Can you tell me,on how to setup an internal my X-FAB (SiFo) account ?","Certainly, I'd be happy to help you with it. To answer your question.  You may need to Follow the normal setup procedure (see http://sp.erf.xfab.de/RandD/DesSup/Hotline/AX_ACM-workflow-2020Mar.docx - or newer version if it exists). Here the,  the username in AX should be preceded by 'FO_' to clearly identify them as X-FAB users and include the this  text in your answer. ""Thank you for your request. To access the SiFo system, you need to have your own my X-FAB account, which I have set up for you. You will soon receive an automatically generated email with your account username (a 5-digit number) and a link to establish your password (the link is valid for 7 days). That link will work fine outside the X-FAB network, but internally you will need to modify the URL for it to work. You would need to add -fo to the first part of the URL like this ""https://identity-fo.xfab.com/..."".
After establishing your password, to log into your account you will need to use this page for internal access ""https://fo.xfab.com/"" and whereas externally you would log in from this page https://my.xfab.com/"
"Can you tell me, what is Voltage Class Tags ?","Certainly, I'd be happy to help you with it. To answer your question. I would suggest you to scan through those tickets for clues depending on the specific question. You can check 63023372 article 4 provides links to related Jira tickets DSBU-1064 / DSBU-1128 / DSBU-1435.  Here, also you can check 63040485 which discusses application to HV IO's 63009953 has some nice general descriptions on how to apply the checks"
"Can you tell me, Is it possible for customer to upload their  of X-FAB data to the Cloud ?","Certainly, I'd be happy to help you with it. To answer your question.  This is possible, but only if written permission to do so is first received from X-FAB. To gain such written permission i would suggest you please contact Hotline who will ask you to
complete a questionnaire explaining the legal status of the hosting arrangement. The responses will be reviewed by X-FAB before a decision is given. "
"Can you tell me, what is, DMIM antenna DRC flag debugging ?","Certainly, I'd be happy to help you with it. To answer your question.  I suggest you to browse tickets for ideas especially in article 14 in former, general guidance to customers in latter"
"Can you tell me,  what is the differences of Pcell PowerMetal1 and PowerMetal2 ?","Certainly, I'd be happy to help you with it. To answer your question.  For this question, I suggest you to see article 23 for description of differences"
"Can you tell me, What is the surface roughness with FLATPV vs SFLATPV modules ?","Certainly, I'd be happy to help you with it. To answer your question.  toughness of standard passivation is not specified and therefore not a parameter which the customer should rely on. If surface roughness is critical, customer should specify either the FLATPV module known as Flat Passivation module for which the surface roughness is expected to be ~2.13nm Ra or SFLATPV known as Sensor Flat Passivation for which the surface roughness is expected to be ~0.18nm Ra. Please note that these are sample values and are not guaranteed. Note that these additional modules affect the final passivation thickness. You can see parameters THV_FLAT & THV_SFLAT."
"Can you tell me, How are the MLM layers grouped in each reticle ?","Certainly, I'd be happy to help you with it. To answer your question.  I suggest you to visit  AX device page, you can go to MGO tab on right side to view. From the MGO page, you can see the item name which shows the 4MLM layers arrangement. Normally we don't disclose the barcode of item number to customer. You can extract the info into the excel format at the top."
"Can you tell me, Show me how to Kill processes from SiFo compiler job fails ?",Thank you for the question. To answer your question you can delete the task file (.tsk) in ~iprepdes/ip_replacement/app/data/tmp to clear the blue triangle
"Can you tell me, May I know what is Via Definitions ?","Certainly, I'd be happy to help you with it. To answer your question.  Via definitions which are in the PDK are described in internal documentation which are attached to the related Jira ticket DSBU-2800"
"Can you tell me, Can you show me on how to run Calibre MIMANT from GUI within Virtuoso ?","Certainly, I'd be happy to help you with it. To answer your question.  There doesn't seem to be the easy selection to the MIMANT runset as is available with PVS. You could define $XFAB_CALIBRE_MIMANT_RUNSET and select xx018_xx51_MET5_METMID for the rules file, you have to navigate to the runset folder. I find it easier to copy xx018_xx51_MET5_METMID to my local Calibre DRC run directory, and edit the file by replacing $XFAB_CALIBRE_MIMANT_RUNSET with the explicit path ""INCLUDE /design/xkit/xx018/mentor/v3_0/calibre_MIMANT/v3_0_1/018.rul.MIM.ANT""  and then specify that modified local xx018_xx51_MET5_METMID file as the rules file."
Can you tell me on how to set an environment variable be used in cds.lib ?,"Certainly, I'd be happy to help you with it. To answer your question.  you can set the syntax as DEFINE analogLib ${CDSHOME}/tools/dfII/etc/cdslib/artist/analogLib."
"Can you tell me, what is Gen1 Gen2 and Gen2.5 differences ?","Certainly, I'd be happy to help you with it. To answer your question.  you can refer to Ron-Coff improved gen-by-gen (152fs / 135 fs / 115fs). Please check table in article 7."
"Can you tell me, what is Pre Tape-out check ?","Certainly, I'd be happy to help you with it. To answer your question.  it is a possible checks that a newbie should consider prior to tape-out."
"Can you tell me, on where I can find Cpk report location ?","Certainly, I'd be happy to help you with it. To answer your question.  you can visit http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Kuching.aspx for kuching and http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Dresden.aspx for dresden."
