concept,description,text
internal my X-FAB (SiFo) account,"Follow the normal setup procedure (see http://sp.erf.xfab.de/RandD/DesSup/Hotline/AX_ACM-workflow-2020Mar.docx - or newer version if it exists), 

but:
(i) The username in AX should be preceded by 'FO_' to clearly identify them as X-FAB users
(ii) include the following text in your answer: 

Thank you for your request. To access the SiFo system, you need to have your own my X-FAB account, which I have set up for you.
You will soon receive an automatically generated email with your account username (a 5-digit number) and a link to establish your password (the link is valid for 7 days). That link will work fine outside the X-FAB network, but internally you’ll need to modify the URL for it to work. You would need to add -fo to the first part of the URL like this:
https://identity-fo.xfab.com/...
After establishing your password, to log into your account you’ll need to use this page for internal access:
https://fo.xfab.com/
whereas externally you would log in from this page:
https://my.xfab.com/","###Human:
internal my X-FAB (SiFo) account

###Assistant:
Follow the normal setup procedure (see http://sp.erf.xfab.de/RandD/DesSup/Hotline/AX_ACM-workflow-2020Mar.docx - or newer version if it exists), 

but:
(i) The username in AX should be preceded by 'FO_' to clearly identify them as X-FAB users
(ii) include the following text in your answer: 

Thank you for your request. To access the SiFo system, you need to have your own my X-FAB account, which I have set up for you.
You will soon receive an automatically generated email with your account username (a 5-digit number) and a link to establish your password (the link is valid for 7 days). That link will work fine outside the X-FAB network, but internally you’ll need to modify the URL for it to work. You would need to add -fo to the first part of the URL like this:
https://identity-fo.xfab.com/...
After establishing your password, to log into your account you’ll need to use this page for internal access:
https://fo.xfab.com/
whereas externally you would log in from this page:
https://my.xfab.com/"
Voltage Class Tags,"Scan through those tickets for clues depending on the specific question
63023372 article 4 provides links to related Jira tickets DSBU-1064 / DSBU-1128 / DSBU-1435
63040485 discusses application to HV IO's
63009953 has some nice general descriptions on how to apply the checks","###Human:
Voltage Class Tags

###Assistant:
Scan through those tickets for clues depending on the specific question
63023372 article 4 provides links to related Jira tickets DSBU-1064 / DSBU-1128 / DSBU-1435
63040485 discusses application to HV IO's
63009953 has some nice general descriptions on how to apply the checks"
Customer upload of X-FAB data to the Cloud,"This is possible, but only if written permission to do so is first received from X-FAB. To gain such written permission, please contact Hotline who will ask you to complete a questionnaire explaining the legal status of the hosting arrangement. The responses will be reviewed by X-FAB before a decision is given. ","###Human:
Customer upload of X-FAB data to the Cloud

###Assistant:
This is possible, but only if written permission to do so is first received from X-FAB. To gain such written permission, please contact Hotline who will ask you to complete a questionnaire explaining the legal status of the hosting arrangement. The responses will be reviewed by X-FAB before a decision is given. "
DMIM antenna DRC flag debugging,"browse tickets for ideas, esp article 14 in former, general guidance to customers in latter","###Human:
DMIM antenna DRC flag debugging

###Assistant:
browse tickets for ideas, esp article 14 in former, general guidance to customers in latter"
Pcell: PowerMetal1 vs PowerMetal2,See article 23 for description of differences,"###Human:
Pcell: PowerMetal1 vs PowerMetal2

###Assistant:
See article 23 for description of differences"
What is the surface roughness with FLATPV vs SFLATPV modules?,"Roughness of standard passivation is not specified, and therefore not a parameter which the customer should rely on. If surface roughness is critical, customer should specify either the FLATPV module (for which the surface roughness is expected to be ~2.13nm Ra) or SFLATPV (for which the surface roughness is expected to be ~0.18nm Ra) - note that these are sample values and are not guaranteed. Note that these additional modules affect the final passivation thickness - see parameters THV_FLAT & THV_SFLAT.","###Human:
What is the surface roughness with FLATPV vs SFLATPV modules?

###Assistant:
Roughness of standard passivation is not specified, and therefore not a parameter which the customer should rely on. If surface roughness is critical, customer should specify either the FLATPV module (for which the surface roughness is expected to be ~2.13nm Ra) or SFLATPV (for which the surface roughness is expected to be ~0.18nm Ra) - note that these are sample values and are not guaranteed. Note that these additional modules affect the final passivation thickness - see parameters THV_FLAT & THV_SFLAT."
How are the MLM layers grouped in each reticle?,"In AX device page, you can go to MGO tab (right side) to view. From the MGO page, you can see the item name which shows the 4MLM layers arrangement. Normally we don’t disclose the barcode (item number) to customer. You can extract the info into the excel format at the top.","###Human:
How are the MLM layers grouped in each reticle?

###Assistant:
In AX device page, you can go to MGO tab (right side) to view. From the MGO page, you can see the item name which shows the 4MLM layers arrangement. Normally we don’t disclose the barcode (item number) to customer. You can extract the info into the excel format at the top."
Kill processes from SiFo compiler job fails,Delete the task file (.tsk) in ~iprepdes/ip_replacement/app/data/tmp to clear the blue triangle,"###Human:
Kill processes from SiFo compiler job fails

###Assistant:
Delete the task file (.tsk) in ~iprepdes/ip_replacement/app/data/tmp to clear the blue triangle"
Via Definitions,Via definitions (which are in the PDK) are described in internal documentation attached to the related Jira ticket DSBU-2800,"###Human:
Via Definitions

###Assistant:
Via definitions (which are in the PDK) are described in internal documentation attached to the related Jira ticket DSBU-2800"
Run Calibre MIMANT from GUI within Virtuoso,"There doesn't seem to be the easy selection to the MIMANT runset as is available with PVS.
You could define $XFAB_CALIBRE_MIMANT_RUNSET and select xx018_xx51_MET5_METMID for the rules file (you have to navigate to the runset folder). I find it easier to copy xx018_xx51_MET5_METMID to my local Calibre DRC run directory, and edit the file replacing $XFAB_CALIBRE_MIMANT_RUNSET with the explicit path:
INCLUDE /design/xkit/xx018/mentor/v3_0/calibre_MIMANT/v3_0_1/018.rul.MIM.ANT
Then specify that modified local xx018_xx51_MET5_METMID file as the rules file.","###Human:
Run Calibre MIMANT from GUI within Virtuoso

###Assistant:
There doesn't seem to be the easy selection to the MIMANT runset as is available with PVS.
You could define $XFAB_CALIBRE_MIMANT_RUNSET and select xx018_xx51_MET5_METMID for the rules file (you have to navigate to the runset folder). I find it easier to copy xx018_xx51_MET5_METMID to my local Calibre DRC run directory, and edit the file replacing $XFAB_CALIBRE_MIMANT_RUNSET with the explicit path:
INCLUDE /design/xkit/xx018/mentor/v3_0/calibre_MIMANT/v3_0_1/018.rul.MIM.ANT
Then specify that modified local xx018_xx51_MET5_METMID file as the rules file."
Gen1 Gen2 Gen2.5 differences,Ron-Coff improved gen-by-gen (152fs / 135 fs / 115fs)  - See table in artcle 7,"###Human:
Gen1 Gen2 Gen2.5 differences

###Assistant:
Ron-Coff improved gen-by-gen (152fs / 135 fs / 115fs)  - See table in artcle 7"
Pre Tape-out checks,Nice summary of possible checks that a newbie should consider prior to tape-out.,"###Human:
Pre Tape-out checks

###Assistant:
Nice summary of possible checks that a newbie should consider prior to tape-out."
